Country,Lig,home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals,away_team_goals,home_team_substitutions,away_team_substitutions,home_team_yellow_card,away_team_yellow_card,home_team_red_card,away_team_red_card,referee,venue,capacity,attendance
Italy,serie-a,Verona,Reggina,1,0,2000/2001,21.06,19:00,0 - 0,1 - 0,[],[],[],[],[],[],[],[],,,,
Italy,serie-a,AS Roma,Parma,3,1,2000/2001,17.06,16:00,2 - 0,1 - 1,[],[],[],[],[],[],[],[],,Stadio Olimpico  (Rome),70 634,
Italy,serie-a,Brescia,Bari,3,1,2000/2001,17.06,16:00,2 - 1,1 - 0,[],[],[],[],[],[],[],[],,Stadio Mario Rigamonti  (Brescia),19 500,
Italy,serie-a,Fiorentina,Napoli,1,2,2000/2001,17.06,16:00,0 - 0,1 - 2,[],[],[],[],[],[],[],[],,Stadio Artemio Franchi  (Florence),43 147,
Italy,serie-a,Inter,Bologna,2,1,2000/2001,17.06,16:00,2 - 0,0 - 1,[],[],[],[],[],[],[],[],,Stadio Giuseppe Meazza (San Siro)  (Milan),80 018,
Italy,serie-a,Juventus,Atalanta,2,1,2000/2001,17.06,16:00,1 - 0,1 - 1,[],[],[],[],[],[],[],[],,Stadio Delle Alpi  (Turin),69 041,
Italy,serie-a,Lecce,Lazio,2,1,2000/2001,17.06,16:00,0 - 1,2 - 0,[],[],[],[],[],[],[],[],,Stadio Via del Mare  (Lecce),40 670,
Italy,serie-a,Reggina,AC Milan,2,1,2000/2001,17.06,16:00,0 - 0,2 - 1,[],[],[],[],[],[],[],[],,Stadio Oreste Granillo  (Reggio Calabria),27 543,
Italy,serie-a,Udinese,L.R. Vicenza,2,3,2000/2001,17.06,16:00,2 - 3,0 - 0,[],[],[],[],[],[],[],[],,Bluenergy Stadium - Stadio Friuli  (Udine),25 144,
Italy,serie-a,Verona,Perugia,2,1,2000/2001,17.06,16:00,1 - 0,1 - 1,[],[],[],[],[],[],[],[],,Stadio Marc'Antonio Bentegodi  (Verona),39 211,
Italy,serie-a,AC Milan,Brescia,1,1,2000/2001,10.06,16:00,0 - 0,1 - 1,[],[],[],[],[],[],[],[],,Stadio Giuseppe Meazza (San Siro)  (Milan),80 018,
Italy,serie-a,Atalanta,Udinese,0,1,2000/2001,10.06,16:00,0 - 1,0 - 0,[],[],[],[],[],[],[],[],,Gewiss Stadium  (Bergamo),24 950,
Italy,serie-a,Bari,Inter,1,2,2000/2001,10.06,16:00,1 - 1,0 - 1,[],[],[],[],[],[],[],[],,Stadio San Nicola  (Bari),58 270,
Italy,serie-a,Bologna,Lecce,2,2,2000/2001,10.06,16:00,0 - 1,2 - 1,[],[],[],[],[],[],[],[],,Stadio Renato Dall'Ara  (Bologna),38 279,
Italy,serie-a,L.R. Vicenza,Juventus,0,3,2000/2001,10.06,16:00,0 - 2,0 - 1,[],[],[],[],[],[],[],[],,Stadio Romeo Menti  (Vicenza),12 000,
